task_id	hash	native_id	process	tag	name	status	exit	submit	module	cpus	memory	attempt	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
4	70/43e9af	1360861	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S8)	COMPLETED	0	2026-08-03 02:01:29.400	-	1	1 GB	1	3.1s	33ms	56.3%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
6	40/c424e7	1360886	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S76)	COMPLETED	0	2026-08-03 02:01:29.428	-	1	1 GB	1	3.1s	30ms	56.3%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
16	24/aa8b7e	1361940	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S360)	COMPLETED	0	2026-08-03 02:01:32.174	-	1	1 GB	1	425ms	27ms	60.1%	0.0%	0	0	0	0	117.4 KB	965 B
18	9c/58e94e	1362032	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S155)	COMPLETED	0	2026-08-03 02:01:32.205	-	1	1 GB	1	445ms	23ms	47.7%	0.0%	0	0	0	0	117.4 KB	965 B
17	ed/8fe753	1361976	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S104)	COMPLETED	0	2026-08-03 02:01:32.183	-	1	1 GB	1	494ms	29ms	47.7%	0.0%	0	0	0	0	117.4 KB	965 B
20	3e/d33d3d	1362982	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S203)	COMPLETED	0	2026-08-03 02:01:32.361	-	1	1 GB	1	486ms	46ms	30.9%	0.0%	0	0	0	0	117.4 KB	965 B
21	8f/ffdc0e	1363031	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S222	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S222)	COMPLETED	0	2026-08-03 02:01:32.373	-	1	1 GB	1	474ms	32ms	46.3%	0.0%	0	0	0	0	117.4 KB	965 B
19	7c/b7629b	1362108	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S174	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S174)	COMPLETED	0	2026-08-03 02:01:32.229	-	1	1 GB	1	617ms	37ms	47.7%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
22	eb/6639bb	1363135	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S140	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S140)	COMPLETED	0	2026-08-03 02:01:32.392	-	1	1 GB	1	517ms	36ms	32.4%	0.0%	0	0	0	0	117.4 KB	965 B
23	15/8eee09	1363241	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S208	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S208)	COMPLETED	0	2026-08-03 02:01:32.414	-	1	1 GB	1	528ms	27ms	36.5%	0.0%	0	0	0	0	117.4 KB	965 B
26	57/9c7923	1363418	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S240	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S240)	COMPLETED	0	2026-08-03 02:01:32.456	-	1	1 GB	1	504ms	33ms	33.5%	0.0%	0	0	0	0	117.4 KB	965 B
25	08/1b4dbd	1363315	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S281	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S281)	COMPLETED	0	2026-08-03 02:01:32.430	-	1	1 GB	1	538ms	65ms	30.9%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
27	bc/63c8ff	1363659	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S309	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S309)	COMPLETED	0	2026-08-03 02:01:32.523	-	1	1 GB	1	474ms	27ms	41.4%	0.0%	0	0	0	0	117.4 KB	965 B
28	2d/630bce	1364022	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S357	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S357)	COMPLETED	0	2026-08-03 02:01:32.607	-	1	1 GB	1	426ms	25ms	65.0%	0.0%	0	0	0	0	117.4 KB	965 B
24	09/65bae6	1363280	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S257	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S257)	COMPLETED	0	2026-08-03 02:01:32.423	-	1	1 GB	1	626ms	38ms	34.8%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
29	71/278b73	1364281	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S382	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S382)	COMPLETED	0	2026-08-03 02:01:32.661	-	1	1 GB	1	445ms	29ms	58.9%	0.0%	0	0	0	0	117.4 KB	965 B
30	79/b5395e	1364352	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S378	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S378)	COMPLETED	0	2026-08-03 02:01:32.686	-	1	1 GB	1	479ms	31ms	61.4%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
32	2f/5e0708	1365177	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S112)	COMPLETED	0	2026-08-03 02:01:32.896	-	1	1 GB	1	375ms	14ms	37.0%	0.0%	0	0	0	0	117.4 KB	965 B
33	12/6ddb3b	1365215	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S137	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S137)	COMPLETED	0	2026-08-03 02:01:32.903	-	1	1 GB	1	403ms	18ms	100.0%	0.0%	0	0	0	0	117.4 KB	966 B
31	5e/4770e2	1365047	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L4S63	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L4S63)	COMPLETED	0	2026-08-03 02:01:32.873	-	1	1 GB	1	449ms	16ms	70.2%	0.0%	0	0	0	0	117.4 KB	965 B
34	85/f8832c	1365299	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L5S240	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L5S240)	COMPLETED	0	2026-08-03 02:01:32.920	-	1	1 GB	1	1.4s	18ms	96.3%	0.0%	0	0	0	0	117.4 KB	965 B
35	e9/37f978	1365481	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S20	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S20)	COMPLETED	0	2026-08-03 02:01:32.952	-	1	1 GB	1	1.4s	18ms	95.5%	0.0%	0	0	0	0	117.4 KB	965 B
37	3d/59a90c	1365663	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S93	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S93)	COMPLETED	0	2026-08-03 02:01:32.980	-	1	1 GB	1	1.4s	19ms	91.8%	0.0%	0	0	0	0	117.4 KB	965 B
36	16/fefd5d	1365601	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L6S68	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L6S68)	COMPLETED	0	2026-08-03 02:01:32.971	-	1	1 GB	1	1.5s	20ms	52.5%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	117.4 KB	965 B
40	b9/f431a4	1366636	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S313	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S313)	COMPLETED	0	2026-08-03 02:01:33.329	-	2	3 GB	1	3.8s	3s	139.5%	0.0%	280.7 MB	6 GB	280.7 MB	6.1 GB	11.1 MB	2.5 MB
38	de/5fe21d	1366499	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S155	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S155)	COMPLETED	0	2026-08-03 02:01:33.277	-	2	3 GB	1	3.9s	3s	138.6%	0.0%	288.1 MB	6 GB	288.1 MB	6.1 GB	11.7 MB	2.5 MB
43	a0/9afba6	1367721	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S175	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S175)	COMPLETED	0	2026-08-03 02:01:34.454	-	2	3 GB	1	3s	3s	152.2%	0.0%	282.3 MB	6 GB	282.3 MB	6.1 GB	11.8 MB	2.5 MB
44	2b/dd33bb	1368633	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S222	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S222)	COMPLETED	0	2026-08-03 02:01:37.149	-	2	3 GB	1	2.9s	3s	154.9%	0.0%	290.8 MB	6 GB	290.8 MB	6 GB	11.6 MB	2.5 MB
41	08/0624bd	1366183	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S313	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S313)	COMPLETED	0	2026-08-03 02:01:33.114	-	2	3 GB	1	10.4s	9.1s	103.5%	0.0%	720.9 MB	2.4 GB	720.9 MB	2.4 GB	40.9 MB	85.5 KB
39	7b/cc437c	1365951	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S155	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S155)	COMPLETED	0	2026-08-03 02:01:33.042	-	2	3 GB	1	10.6s	9.2s	104.2%	0.0%	718.8 MB	2.4 GB	718.8 MB	2.4 GB	41.5 MB	310 KB
42	4c/f50590	1367270	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S175	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S175)	COMPLETED	0	2026-08-03 02:01:34.344	-	2	3 GB	1	9.8s	9.4s	110.1%	0.0%	732.8 MB	2.5 GB	733.4 MB	2.5 GB	41.6 MB	338.5 KB
45	b8/724200	1368637	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S222	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S222)	COMPLETED	0	2026-08-03 02:01:37.159	-	2	3 GB	1	8.6s	8.3s	112.2%	0.0%	731.4 MB	2.5 GB	732.3 MB	2.5 GB	41.4 MB	280 KB
48	b9/957625	1370331	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S341	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S341)	COMPLETED	0	2026-08-03 02:01:43.561	-	2	3 GB	1	2.8s	3s	125.9%	0.0%	253.1 MB	6 GB	253.1 MB	6.1 GB	11.1 MB	2.5 MB
46	4b/ad9e1a	1370410	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S57	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S57)	COMPLETED	0	2026-08-03 02:01:43.637	-	2	3 GB	1	2.8s	3s	145.7%	0.0%	278.4 MB	6 GB	278.4 MB	6.1 GB	11.8 MB	2.5 MB
50	53/e215d7	1370753	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L2S204	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L2S204)	COMPLETED	0	2026-08-03 02:01:44.153	-	2	3 GB	1	2.9s	2s	146.1%	0.0%	293.1 MB	6 GB	293.1 MB	6 GB	11.5 MB	2.5 MB
47	3c/c30902	1369036	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S57	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S57)	COMPLETED	0	2026-08-03 02:01:37.496	-	2	3 GB	1	9.6s	9.3s	108.4%	0.0%	721.7 MB	2.4 GB	721.7 MB	2.4 GB	41.6 MB	594.3 KB
52	86/37080c	1371664	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S105	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S105)	COMPLETED	0	2026-08-03 02:01:46.388	-	2	3 GB	1	2.9s	3s	142.4%	0.0%	279.5 MB	6 GB	279.5 MB	6 GB	11.7 MB	2.5 MB
49	2f/b3316f	1369660	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S341	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S341)	COMPLETED	0	2026-08-03 02:01:40.066	-	2	3 GB	1	9.3s	9s	110.3%	0.0%	725.9 MB	2.4 GB	725.9 MB	2.4 GB	40.9 MB	84 KB
54	ab/ef857c	1372118	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S294	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S294)	COMPLETED	0	2026-08-03 02:01:47.052	-	2	3 GB	1	2.9s	2s	135.9%	0.0%	268.7 MB	6 GB	268.7 MB	6 GB	11.1 MB	2.5 MB
56	89/11293a	1373046	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S242	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S242)	COMPLETED	0	2026-08-03 02:01:49.410	-	2	3 GB	1	2.9s	3s	115.0%	0.0%	252.2 MB	6 GB	252.2 MB	6.1 GB	11.1 MB	2.5 MB
51	54/b534e7	1371283	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L2S204	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L2S204)	COMPLETED	0	2026-08-03 02:01:45.775	-	2	3 GB	1	9.4s	9.1s	110.2%	0.0%	724.7 MB	2.4 GB	724.7 MB	2.4 GB	41.3 MB	257.5 KB
58	66/ad381f	1374031	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S8)	COMPLETED	0	2026-08-03 02:01:52.321	-	2	3 GB	1	2.8s	3s	151.0%	0.0%	292.6 MB	6 GB	292.6 MB	6.1 GB	11.8 MB	2.5 MB
53	69/ad4ba2	1371706	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S105	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S105)	COMPLETED	0	2026-08-03 02:01:46.432	-	2	3 GB	1	9.6s	9.3s	110.1%	0.0%	743 MB	2.5 GB	743 MB	2.5 GB	41.5 MB	538.6 KB
55	c8/12ffb1	1372224	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S294	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S294)	COMPLETED	0	2026-08-03 02:01:47.120	-	2	3 GB	1	8.9s	8.6s	109.8%	0.0%	721.7 MB	2.4 GB	721.7 MB	2.4 GB	40.9 MB	93.7 KB
61	e2/41ab46	1374709	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S76)	COMPLETED	0	2026-08-03 02:01:55.133	-	2	3 GB	1	2.9s	3s	137.9%	0.0%	285.2 MB	6 GB	285.2 MB	6.1 GB	11.6 MB	2.5 MB
57	1d/5e5f70	1372929	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S242	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S242)	COMPLETED	0	2026-08-03 02:01:49.272	-	2	3 GB	1	9.4s	9.1s	110.2%	0.0%	721.2 MB	2.4 GB	721.2 MB	2.4 GB	40.9 MB	66.3 KB
59	a3/0e521c	1373424	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S8)	COMPLETED	0	2026-08-03 02:01:49.969	-	2	3 GB	1	8.8s	8.5s	109.9%	0.0%	738.4 MB	2.5 GB	738.4 MB	2.5 GB	41.6 MB	482.4 KB
62	b1/4444a2	1375200	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L3S360)	COMPLETED	0	2026-08-03 02:01:56.051	-	2	3 GB	1	2.9s	2s	117.1%	0.0%	252.3 MB	6 GB	252.3 MB	6.1 GB	11.1 MB	2.5 MB
64	f1/65b61d	1376195	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S155)	COMPLETED	0	2026-08-03 02:01:58.642	-	2	3 GB	1	2.8s	3s	113.6%	0.0%	246.6 MB	6 GB	246.6 MB	6.1 GB	11.1 MB	2.6 MB
66	c2/c566ad	1376256	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S104)	COMPLETED	0	2026-08-03 02:01:58.746	-	2	3 GB	1	2.9s	3s	112.7%	0.0%	251.5 MB	6 GB	251.5 MB	6.1 GB	11.2 MB	2.5 MB
60	3c/40da4e	1374714	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L1S76)	COMPLETED	0	2026-08-03 02:01:55.145	-	2	3 GB	1	9.2s	8.9s	110.3%	0.0%	722.9 MB	2.4 GB	722.9 MB	2.4 GB	41.5 MB	533.3 KB
70	7b/a0fbb0	1377552	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S222	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S222)	COMPLETED	0	2026-08-03 02:02:01.482	-	2	3 GB	1	2.9s	3s	133.8%	0.0%	282.4 MB	6 GB	282.4 MB	6.1 GB	11.2 MB	2.6 MB
63	b8/81d01b	1375182	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L3S360	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L3S360)	COMPLETED	0	2026-08-03 02:01:56.017	-	2	3 GB	1	9.6s	9.3s	108.6%	0.0%	725.9 MB	2.5 GB	725.9 MB	2.5 GB	40.9 MB	87.1 KB
65	31/337dd2	1375879	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S155	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S155)	COMPLETED	0	2026-08-03 02:01:58.047	-	2	3 GB	1	9.5s	9.2s	110.6%	0.0%	720.3 MB	2.4 GB	720.3 MB	2.4 GB	40.9 MB	113.5 KB
67	16/a27eef	1376476	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S104	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S104)	COMPLETED	0	2026-08-03 02:01:58.930	-	2	3 GB	1	9.4s	9.1s	109.2%	0.0%	720.7 MB	2.4 GB	720.7 MB	2.4 GB	41 MB	142.3 KB
68	c9/834484	1378862	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S203	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S203)	COMPLETED	0	2026-08-03 02:02:05.606	-	2	3 GB	1	2.8s	3s	140.2%	0.0%	283.3 MB	6 GB	283.3 MB	6.1 GB	11.2 MB	2.5 MB
69	c6/1f1461	1379326	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L5S174	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L5S174)	COMPLETED	0	2026-08-03 02:02:07.584	-	2	3 GB	1	2.8s	3s	116.2%	0.0%	248.5 MB	6 GB	248.5 MB	6 GB	11.1 MB	2.5 MB
72	2b/d85703	1377667	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S174	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S174)	COMPLETED	0	2026-08-03 02:02:01.618	-	2	3 GB	1	9.2s	8.8s	108.5%	0.0%	721.7 MB	2.4 GB	721.7 MB	2.4 GB	40.9 MB	126.2 KB
75	70/f31df9	1379683	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S140	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S140)	COMPLETED	0	2026-08-03 02:02:08.322	-	2	3 GB	1	2.9s	3s	120.4%	0.0%	258.2 MB	6 GB	258.2 MB	6.1 GB	11.6 MB	2.5 MB
73	cf/bf7f71	1378367	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM	L5S222	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (L5S222)	COMPLETED	0	2026-08-03 02:02:04.342	-	2	3 GB	1	9.1s	8.8s	108.3%	0.0%	720.5 MB	2.4 GB	720.5 MB	2.4 GB	41 MB	156.6 KB
77	11/4de2b5	1380696	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC	L1S208	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (L1S208)	COMPLETED	0	2026-08-03 02:02:10.797	-	2	3 GB	1	2.8s	2s	126.6%	0.0%	258.4 MB	6 GB	260.9 MB	6.1 GB	11.7 MB	2.5 MB
